expression,reading,level
災害,さいがい,JLPT_1 JLPT
細菌,さいきん,JLPT_1 JLPT
細工,さいく,JLPT_1 JLPT
採掘,さいくつ,JLPT_1 JLPT
サイクル,サイクル,JLPT_1 JLPT
採決,さいけつ,JLPT_1 JLPT
再建,さいけん,JLPT_1 JLPT
再現,さいげん,JLPT_1 JLPT
財源,ざいげん,JLPT_1 JLPT
在庫,ざいこ,JLPT_1 JLPT
採算,さいさん,JLPT_1 JLPT
サイズ,サイズ,JLPT_1 JLPT
再生,さいせい,JLPT_1 JLPT
財政,ざいせい,JLPT_1 JLPT
最善,さいぜん,JLPT_1 JLPT
採択,さいたく,JLPT_1 JLPT
栽培,さいばい,JLPT_1 JLPT
再発,さいはつ,JLPT_1 JLPT
細胞,さいぼう,JLPT_1 JLPT
採用,さいよう,JLPT_1 JLPT
遮る,さえぎる,JLPT_1 JLPT
さえずる,さえずる,JLPT_1 JLPT
冴える,さえる,JLPT_1 JLPT
竿,さお,JLPT_1 JLPT
栄える,さかえる,JLPT_1 JLPT
差額,さがく,JLPT_1 JLPT
杯,さかずき,JLPT_1 JLPT
逆立ち,さかだち,JLPT_1 JLPT
さきに (いぜん),さきに (いぜん),JLPT_1 JLPT
詐欺,さぎ,JLPT_1 JLPT
削減,さくげん,JLPT_1 JLPT
錯誤,さくご,JLPT_1 JLPT
作戦,さくせん,JLPT_1 JLPT
叫び,さけび,JLPT_1 JLPT
捧げる,ささげる,JLPT_1 JLPT
差し掛かる,さしかかる,JLPT_1 JLPT
指図,さしず,JLPT_1 JLPT
差し出す,さしだす,JLPT_1 JLPT
差し支える,さしつかえる,JLPT_1 JLPT
授ける,さずける,JLPT_1 JLPT
摩する,さする,JLPT_1 JLPT
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),JLPT_1 JLPT
定まる,さだまる,JLPT_1 JLPT
定める,さだめる,JLPT_1 JLPT
座談会,ざだんかい,JLPT_1 JLPT
雑,ざつ,JLPT_1 JLPT
雑貨,ざっか,JLPT_1 JLPT
殺人,さつじん,JLPT_1 JLPT
察する,さっする,JLPT_1 JLPT
雑談,ざつだん,JLPT_1 JLPT
さっと,さっと,JLPT_1 JLPT
さっぱりする,さっぱりする,JLPT_1 JLPT
悟る,さとる,JLPT_1 JLPT
最中,さなか,JLPT_1 JLPT
座標,ざひょう,JLPT_1 JLPT
さほど,さほど,JLPT_1 JLPT
サボる,サボる,JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki
様,さま,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11
寒気,さむけ,JLPT_1 JLPT
侍,さむらい,JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese
さも,さも,JLPT_1 JLPT
作用,さよう,JLPT_1 JLPT
さらう (こどもを～),さらう (こどもを～),JLPT_1 JLPT
障る,さわる,JLPT_1 JLPT
酸,さん,JLPT_1 JLPT
山岳,さんがく,JLPT_1 JLPT
参議院,さんぎいん,JLPT_1 JLPT
産休,さんきゅう,JLPT_1 JLPT
サンキュー,サンキュー,JLPT_1 JLPT
残金,ざんきん,JLPT_1 JLPT
産後,さんご,JLPT_1 JLPT
残酷,ざんこく,JLPT_1 JLPT
産出,さんしゅつ,JLPT_1 JLPT
参照,さんしょう,JLPT_1 JLPT
参上,さんじょう,JLPT_1 JLPT
残高,ざんだか,JLPT_1 JLPT
サンタクロース,サンタクロース,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
桟橋,さんばし,JLPT_1 JLPT
賛美,さんび,JLPT_1 JLPT
山腹,さんぷく,JLPT_1 JLPT
産婦人科,さんふじんか,JLPT_1 JLPT
産物,さんぶつ,JLPT_1 JLPT
山脈,さんみゃく,JLPT_1 JLPT
仕上がり,しあがり,JLPT_1 JLPT
仕上,しあげ,JLPT_1 JLPT
仕上げる,しあげる,JLPT_1 JLPT
飼育,しいく,JLPT_1 JLPT
強いて,しいて,JLPT_1 JLPT
シート,シート,JLPT_1 JLPT
ジーパン,ジーパン,JLPT_1 JLPT
仕入れる,しいれる,JLPT_1 JLPT
強いる,しいる,JLPT_1 JLPT
潮,しお,JLPT_1 JLPT
歯科,しか,JLPT_1 JLPT
自我,じが,JLPT_1 JLPT
自覚,じかく,JLPT_1 JLPT
仕掛,しかけ,JLPT_1 JLPT
仕掛ける,しかける,JLPT_1 JLPT
しかしながら,しかしながら,JLPT_1 JLPT
色彩,しきさい,JLPT_1 JLPT
式場,しきじょう,JLPT_1 JLPT
しきたり,しきたり,JLPT_1 JLPT
事業,じぎょう,JLPT_1 JLPT
軽蔑,けいべつ,JLPT_1 JLPT
経歴,けいれき,JLPT_1 JLPT
経路,けいろ,JLPT_1 JLPT
けがらわしい,けがらわしい,JLPT_1 JLPT
劇団,げきだん,JLPT_1 JLPT
激励,げきれい,JLPT_1 JLPT
ゲスト,ゲスト,JLPT_1 JLPT
獣,けだもの,JLPT_1 JLPT
決,けつ,JLPT_1 JLPT
決意,けつい,JLPT_1 JLPT
結核,けっかく,JLPT_1 JLPT
決議,けつぎ,JLPT_1 JLPT
結合,けつごう,JLPT_1 JLPT
決算,けっさん,JLPT_1 JLPT
月謝,げっしゃ,JLPT_1 JLPT
決勝,けっしょう,JLPT_1 JLPT
結晶,けっしょう,JLPT_1 JLPT
結成,けっせい,JLPT_1 JLPT
結束,けっそく,JLPT_1 JLPT
げっそり,げっそり,JLPT_1 JLPT
決断,けつだん,JLPT_1 JLPT
月賦,げっぷ,JLPT_1 JLPT
欠乏,けつぼう,JLPT_1 JLPT
蹴飛ばす,けとばす,JLPT_1 JLPT
けなす,けなす,JLPT_1 JLPT
煙たい,けむたい,JLPT_1 JLPT
煙る,けむる,JLPT_1 JLPT
獣,けもの,JLPT_1 JLPT
家来,けらい,JLPT_1 JLPT
下痢,げり,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese
権威,けんい,JLPT_1 JLPT
兼業,けんぎょう,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese
原形,げんけい,JLPT_1 JLPT
原型,げんけい,JLPT_1 JLPT
権限,けんげん,JLPT_1 JLPT
現行,げんこう,JLPT_1 JLPT
健在,けんざい,JLPT_1 JLPT
原作,げんさく,JLPT_1 JLPT
検事,けんじ,JLPT_1 JLPT
原子,げんし,JLPT_1 JLPT
元首,げんしゅ,JLPT_1 JLPT
原書,げんしょ,JLPT_1 JLPT
懸賞,けんしょう,JLPT_1 JLPT
健全,けんぜん,JLPT_1 JLPT
元素,げんそ,JLPT_1 JLPT
同調,どうちょう,JLPT_1 JLPT
到底,とうてい,JLPT_1 JLPT
動的,どうてき,JLPT_1 JLPT
尊い,とうとい,JLPT_1 JLPT
貴い,とうとい,JLPT_1 JLPT
同等,どうとう,JLPT_1 JLPT
堂々,どうどう,JLPT_1 JLPT
尊ぶ,とうとぶ,JLPT_1 JLPT
どうにか,どうにか,JLPT_1 JLPT
投入,とうにゅう,JLPT_1 JLPT
導入,どうにゅう,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese
当人,とうにん,JLPT_1 JLPT
同封,どうふう,JLPT_1 JLPT
逃亡,とうぼう,JLPT_1 JLPT
冬眠,とうみん,JLPT_1 JLPT
同盟,どうめい,JLPT_1 JLPT
どうやら,どうやら,JLPT_1 JLPT
動力,どうりょく,JLPT_1 JLPT
登録,とうろく,JLPT_1 JLPT
